"ensembl_base"	"symbol"
"1"	"ENSG00000188257"	"PLA2G2A"
"2"	"ENSG00000227070"	"RP11-191G24.1"
"3"	"ENSG00000169213"	"RAB3B"
"4"	"ENSG00000137976"	"DNASE2B"
"5"	"ENSG00000182795"	"C1orf116"
"6"	"ENSG00000235688"	"AC116614.1"
"7"	"ENSG00000228613"	"AC144450.1"
"8"	"ENSG00000196208"	"GREB1"
"9"	"ENSG00000225449"	"RAB6C-AS1"
"10"	"ENSG00000240253"	"FAR2P3"
"11"	"ENSG00000169507"	"SLC38A11"
"12"	"ENSG00000281131"	"SCHLAP1"
"13"	"ENSG00000144339"	"TMEFF2"
"14"	"ENSG00000233031"	"AC125238.3"
"15"	"ENSG00000259793"	"RP11-400N9.1"
"16"	"ENSG00000144481"	"TRPM8"
"17"	"ENSG00000146205"	"ANO7"
"18"	"ENSG00000178750"	"STX19"
"19"	"ENSG00000244300"	"GATA2-AS1"
"20"	"ENSG00000196353"	"CPNE4"
"21"	"ENSG00000242899"	"RPL7P16"
"22"	"ENSG00000168875"	"SOX14"
"23"	"ENSG00000244541"	"LINC01213"
"24"	"ENSG00000159674"	"SPON2"
"25"	"ENSG00000273179"	"RP11-20I20.4"
"26"	"ENSG00000188848"	"BEND4"
"27"	"ENSG00000138696"	"BMPR1B"
"28"	"ENSG00000236699"	"ARHGEF38"
"29"	"ENSG00000249885"	"ARHGEF38-IT1"
"30"	"ENSG00000248771"	"LINC01207"
"31"	"ENSG00000249116"	"CTD-2194D22.3"
"32"	"ENSG00000152931"	"PART1"
"33"	"ENSG00000246763"	"RGMB-AS1"
"34"	"ENSG00000080709"	"KCNN2"
"35"	"ENSG00000152503"	"TRIM36"
"36"	"ENSG00000184838"	"PRR16"
"37"	"ENSG00000152377"	"SPOCK1"
"38"	"ENSG00000169252"	"ADRB2"
"39"	"ENSG00000249684"	"RP11-423H2.3"
"40"	"ENSG00000229896"	"RP11-456H18.2"
"41"	"ENSG00000225173"	"XXbac-BPG308K3.5"
"42"	"ENSG00000204385"	"SLC44A4"
"43"	"ENSG00000124664"	"SPDEF"
"44"	"ENSG00000124721"	"DNAH8"
"45"	"ENSG00000231150"	"RP1-207H1.3"
"46"	"ENSG00000146233"	"CYP39A1"
"47"	"ENSG00000112379"	"KIAA1244"
"48"	"ENSG00000240990"	"HOXA11-AS"
"49"	"ENSG00000277966"	"HOXA11-AS1_4"
"50"	"ENSG00000278592"	"HOXA11-AS1_5"
"51"	"ENSG00000227191"	"TRGC2"
"52"	"ENSG00000211689"	"TRGC1"
"53"	"ENSG00000231202"	"TRGVB"
"54"	"ENSG00000211695"	"TRGV9"
"55"	"ENSG00000230882"	"AC005077.14"
"56"	"ENSG00000127954"	"STEAP4"
"57"	"ENSG00000164647"	"STEAP1"
"58"	"ENSG00000157214"	"STEAP2"
"59"	"ENSG00000180535"	"BHLHA15"
"60"	"ENSG00000214313"	"AZGP1P1"
"61"	"ENSG00000278683"	"RP11-132A1.6"
"62"	"ENSG00000234715"	"CTB-107G13.1"
"63"	"ENSG00000165125"	"TRPV6"
"64"	"ENSG00000174469"	"CNTNAP2"
"65"	"ENSG00000228569"	"AC073133.2"
"66"	"ENSG00000167034"	"NKX3-1"
"67"	"ENSG00000120903"	"CHRNA2"
"68"	"ENSG00000248801"	"RP11-664D7.4"
"69"	"ENSG00000268080"	"RP11-388K12.3"
"70"	"ENSG00000254024"	"KB-1562D12.1"
"71"	"ENSG00000225937"	"PCA3"
"72"	"ENSG00000274326"	"PCA3_1"
"73"	"ENSG00000226825"	"LINC01509"
"74"	"ENSG00000188959"	"C9orf152"
"75"	"ENSG00000233516"	"RP11-388N2.1"
"76"	"ENSG00000184709"	"LRRC26"
"77"	"ENSG00000130653"	"PNPLA7"
"78"	"ENSG00000199407"	"RNA5SP301"
"79"	"ENSG00000234091"	"RP11-353M9.1"
"80"	"ENSG00000280012"	"AL589822.1"
"81"	"ENSG00000043591"	"ADRB1"
"82"	"ENSG00000095627"	"TDRD1"
"83"	"ENSG00000274685"	"RP11-122K13.15"
"84"	"ENSG00000254872"	"RP13-870H17.3"
"85"	"ENSG00000254480"	"RP11-23F23.2"
"86"	"ENSG00000180785"	"OR51E1"
"87"	"ENSG00000180723"	"OR51A9P"
"88"	"ENSG00000167332"	"OR51E2"
"89"	"ENSG00000197674"	"OR51C1P"
"90"	"ENSG00000167346"	"MMP26"
"91"	"ENSG00000255007"	"CTD-2589M5.4"
"92"	"ENSG00000086205"	"FOLH1"
"93"	"ENSG00000255240"	"RP11-142C4.6"
"94"	"ENSG00000254399"	"GLYATL1P4"
"95"	"ENSG00000166959"	"MS4A8"
"96"	"ENSG00000011347"	"SYT7"
"97"	"ENSG00000257002"	"AP000438.2"
"98"	"ENSG00000255051"	"BCAS2P1"
"99"	"ENSG00000134612"	"FOLH1B"
"100"	"ENSG00000238117"	"AP004372.1"
"101"	"ENSG00000257542"	"OR7E47P"
"102"	"ENSG00000272724"	"OR7E47P"
"103"	"ENSG00000166006"	"KCNC2"
"104"	"ENSG00000196091"	"MYBPC1"
"105"	"ENSG00000205861"	"C1QTNF9B-AS1"
"106"	"ENSG00000271850"	"RP11-16D22.2"
"107"	"ENSG00000251015"	"SLC25A30-AS1"
"108"	"ENSG00000235984"	"GPC5-AS1"
"109"	"ENSG00000125257"	"ABCC4"
"110"	"ENSG00000223298"	"RNY3P8"
"111"	"ENSG00000258314"	"CTD-2314B22.1"
"112"	"ENSG00000274827"	"LINC01297"
"113"	"ENSG00000259087"	"RP11-356O9.2"
"114"	"ENSG00000258414"	"RP11-356O9.1"
"115"	"ENSG00000129514"	"FOXA1"
"116"	"ENSG00000139865"	"TTC6"
"117"	"ENSG00000200385"	"SNORA42"
"118"	"ENSG00000187097"	"ENTPD5"
"119"	"ENSG00000278626"	"RP11-467L19.16"
"120"	"ENSG00000258590"	"NBEAP1"
"121"	"ENSG00000179362"	"HMGN2P46"
"122"	"ENSG00000245750"	"RP11-279F6.1"
"123"	"ENSG00000259457"	"RP11-279F6.2"
"124"	"ENSG00000103942"	"HOMER2"
"125"	"ENSG00000200991"	"SNORA25"
"126"	"ENSG00000166823"	"MESP1"
"127"	"ENSG00000184254"	"ALDH1A3"
"128"	"ENSG00000279930"	"LA16c-312E8.4"
"129"	"ENSG00000166743"	"ACSM1"
"130"	"ENSG00000260896"	"RP11-314O13.1"
"131"	"ENSG00000260228"	"RP11-483P21.2"
"132"	"ENSG00000263427"	"RP11-599B13.3"
"133"	"ENSG00000275011"	"RP11-599B13.9"
"134"	"ENSG00000159182"	"PRAC1"
"135"	"ENSG00000229637"	"PRAC2"
"136"	"ENSG00000159184"	"HOXB13"
"137"	"ENSG00000242407"	"CTD-2377D24.4"
"138"	"ENSG00000265369"	"PCAT18"
"139"	"ENSG00000188039"	"NWD1"
"140"	"ENSG00000264175"	"MIR3189"
"141"	"ENSG00000233214"	"AC002511.2"
"142"	"ENSG00000232680"	"AC002511.3"
"143"	"ENSG00000126262"	"FFAR2"
"144"	"ENSG00000204666"	"FLJ26850"
"145"	"ENSG00000142515"	"KLK3"
"146"	"ENSG00000167751"	"KLK2"
"147"	"ENSG00000197588"	"KLKP1"
"148"	"ENSG00000167749"	"KLK4"
"149"	"ENSG00000269235"	"ZNF350-AS1"
"150"	"ENSG00000213777"	"CTD-2224J9.8"
"151"	"ENSG00000078898"	"BPIFB2"
"152"	"ENSG00000132821"	"VSTM2L"
"153"	"ENSG00000278709"	"RP5-1059L7.1"
"154"	"ENSG00000231324"	"AP000696.2"
"155"	"ENSG00000159263"	"SIM2"
"156"	"ENSG00000183844"	"FAM3B"
"157"	"ENSG00000184012"	"TMPRSS2"
"158"	"ENSG00000232806"	"AP001610.9"
"159"	"ENSG00000223400"	"AP006748.1"
"160"	"ENSG00000160191"	"PDE9A"
"161"	"ENSG00000225255"	"LA16c-83F12.6"
"162"	"ENSG00000198125"	"MB"
"163"	"ENSG00000184388"	"PABPC1L2B"
"164"	"ENSG00000186288"	"PABPC1L2A"
"165"	"ENSG00000158164"	"TMSB15A"
"166"	"ENSG00000129824"	"RPS4Y1"
"167"	"ENSG00000092377"	"TBL1Y"
"168"	"ENSG00000273906"	"RP11-115H13.1"
"169"	"ENSG00000233864"	"TTTY15"
"170"	"ENSG00000114374"	"USP9Y"
