Luminal	Basal
PLA2G2A	COL17A1
CWH43	CSMD2
ELOVL2	CDH13
POTEM	MUM1L1
CPNE4	MMP3
MUC2	IL33
LMAN1L	GIMAP8
OSTalpha	PDPN
CCK	VSNL1
TRPV6	BNC1
DNAJC12	IGFBP7
ASRGL1	DLK2
KMO	HMGA2
KCNN2	NOTCH4
CHI3L2	THBS2
PPM1H	TAGLN
ANKRD1	FHL1
UPK1A	ANXA8L2
RIMS1	COL4A6
PGC	KCNQ5
DLL4	WNT7A
ANO7	KCNMA1
DOCK11	NIPAL4
GPR98	FLRT2
SYT7	LTBP2
TBXAS1	FOXI1
TOX3	NGFR
SERHL2	SERPINB13
NPTX2	CNTNAP3B
GFPT2	FGFR3
PTPRN2	ARHGAP25
CSGALNACT1	AEBP1
ST8SIA1	FJX1
VNN3	TNC
C2	MSRB3
TRPM8	NRG1
MB	SERPINF1
RAMP1	DLC1
PDE8B	IL1A
SPDEF	DKK3
LTB	ERG
HLA-DMB	SYNE1
INHBB	JAG2
LOC286002	JAM3
FGF13	MRC2
DCDC2	SPARC
KRT20	C16orf74
FBP1	FAT3
SLC2A12	KIRREL
TSPAN8	SH2D5
