"sample_id" "Median.Cellularity"
"CPCG0196" "CPCG0196" 0.679641
"CPCG0208" "CPCG0208" 0.785695
"CPCG0210" "CPCG0210" 0.486744
"CPCG0235" "CPCG0235" NA
"CPCG0236" "CPCG0236" 0.510344
"CPCG0238" "CPCG0238" 0.52739935
"CPCG0241" "CPCG0241" 0.442059
"CPCG0246" "CPCG0246" 0.201113
"CPCG0248" "CPCG0248" 0.587296
"CPCG0249" "CPCG0249" 0.61
"CPCG0250" "CPCG0250" 0.559691
"CPCG0256" "CPCG0256" 0.5442835
"CPCG0258" "CPCG0258" 0.502114
"CPCG0260" "CPCG0260" 0.51
"CPCG0263" "CPCG0263" 0.45
"CPCG0266" "CPCG0266" 0.3453725
"CPCG0324" "CPCG0324" 0.485409
"CPCG0331" "CPCG0331" 0.4602495
"CPCG0336" "CPCG0336" 0.5354265
"CPCG0341" "CPCG0341" 0.539738
"CPCG0342" "CPCG0342" 0.2654588
"CPCG0344" "CPCG0344" 0.257062414164649
"CPCG0345" "CPCG0345" 0.51
"CPCG0346" "CPCG0346" 0.3808925
"CPCG0348" "CPCG0348" 0.613005
"CPCG0349" "CPCG0349" NA
"CPCG0350" "CPCG0350" 0.7330485
"CPCG0352" "CPCG0352" 0.59287255
"CPCG0353" "CPCG0353" 0.5084575
"CPCG0354" "CPCG0354" 0.355501
"CPCG0355" "CPCG0355" 0.556421
"CPCG0356" "CPCG0356" 0.4084515
"CPCG0357" "CPCG0357" 0.6096635
"CPCG0358" "CPCG0358" 0.293981897158322
"CPCG0360" "CPCG0360" 0.2281548
"CPCG0361" "CPCG0361" 0.503342
"CPCG0362" "CPCG0362" 0.33317165
"CPCG0368" "CPCG0368" 0.439508
"CPCG0369" "CPCG0369" 0.55
"CPCG0371" "CPCG0371" 0.5377715
"CPCG0372" "CPCG0372" 0.4619325
"CPCG0373" "CPCG0373" 0.365939
"CPCG0374" "CPCG0374" 0.48507
"CPCG0375" "CPCG0375" 0.479752
"CPCG0377" "CPCG0377" NA
"CPCG0379" "CPCG0379" 0.751434
"CPCG0380" "CPCG0380" 0.5268415
"CPCG0382" "CPCG0382" NA
"CPCG0391" "CPCG0391" 0.7335995
"CPCG0394" "CPCG0394" NA
"CPCG0458" "CPCG0458" 0.492143
"CPCG0545" "CPCG0545" NA
