GeneID	Chr	Start	End	Strand	Length
ENSG00000223972.5	chr1	11869	14409	+	2541
ENSG00000227232.5	chr1	14404	29570	-	15167
ENSG00000278267.1	chr1	17369	17436	-	68
ENSG00000243485.5	chr1	29554	31109	+	1556
ENSG00000284332.1	chr1	30366	30503	+	138
ENSG00000237613.2	chr1	34554	36081	-	1528
ENSG00000268020.3	chr1	52473	53312	+	840
ENSG00000240361.2	chr1	57598	64116	+	6519
ENSG00000186092.6	chr1	65419	71585	+	6167
ENSG00000238009.6	chr1	89295	133723	-	44429
ENSG00000239945.1	chr1	89551	91105	-	1555
ENSG00000233750.3	chr1	131025	134836	+	3812
ENSG00000268903.1	chr1	135141	135895	-	755
ENSG00000269981.1	chr1	137682	137965	-	284
ENSG00000239906.1	chr1	139790	140339	-	550
ENSG00000241860.6	chr1	141474	173862	-	32389
ENSG00000222623.1	chr1	157784	157887	-	104
ENSG00000241599.1	chr1	160446	161525	+	1080
ENSG00000279928.2	chr1	182696	184174	+	1479
ENSG00000279457.4	chr1	185217	195411	-	10195
ENSG00000273874.1	chr1	187891	187958	-	68
ENSG00000228463.10	chr1	257864	359681	-	101818
ENSG00000236679.2	chr1	347982	348366	-	385
ENSG00000236601.2	chr1	358857	366052	+	7196
ENSG00000237094.12	chr1	365389	522928	-	157540
ENSG00000269732.1	chr1	439870	440232	+	363
ENSG00000284733.1	chr1	450703	451697	-	995
ENSG00000233653.3	chr1	487101	489906	+	2806
ENSG00000250575.1	chr1	491225	493241	-	2017
ENSG00000278757.1	chr1	516376	516479	-	104
ENSG00000230021.9	chr1	586071	827796	-	241726
ENSG00000235146.2	chr1	587629	594768	+	7140
ENSG00000225972.1	chr1	629062	629433	+	372
ENSG00000225630.1	chr1	629640	630683	+	1044
ENSG00000237973.1	chr1	631074	632616	+	1543
ENSG00000278791.1	chr1	632325	632413	-	89
ENSG00000229344.1	chr1	632757	633438	+	682
ENSG00000240409.1	chr1	633535	633741	+	207
ENSG00000248527.1	chr1	633696	634376	+	681
ENSG00000198744.5	chr1	634376	634922	+	547
ENSG00000268663.1	chr1	674842	675265	+	424
ENSG00000284662.1	chr1	685679	686673	-	995
ENSG00000229376.3	chr1	722092	724903	+	2812
ENSG00000228327.3	chr1	725885	778626	-	52742
ENSG00000223181.1	chr1	758233	758336	-	104
ENSG00000229905.1	chr1	760911	761989	+	1079
ENSG00000237491.8	chr1	778770	810060	+	31291
ENSG00000285268.1	chr1	781937	782050	+	114
ENSG00000230092.7	chr1	800879	817712	-	16834
ENSG00000177757.2	chr1	817371	819837	+	2467
ENSG00000228794.8	chr1	825138	859446	+	34309
ENSG00000225880.5	chr1	826206	827522	-	1317
ENSG00000230368.2	chr1	868071	876903	-	8833
ENSG00000234711.1	chr1	873292	874349	+	1058
ENSG00000283040.1	chr1	874529	877234	-	2706
ENSG00000272438.1	chr1	904834	915976	+	11143
ENSG00000230699.2	chr1	911435	914948	+	3514
ENSG00000241180.1	chr1	914171	914971	+	801
ENSG00000223764.2	chr1	916865	921016	-	4152
ENSG00000187634.11	chr1	923928	944581	+	20654
ENSG00000188976.10	chr1	944204	959309	-	15106
ENSG00000187961.13	chr1	960587	965715	+	5129
ENSG00000187583.10	chr1	966497	975865	+	9369
ENSG00000187642.9	chr1	975204	982093	-	6890
ENSG00000272512.1	chr1	995966	998051	-	2086
ENSG00000188290.10	chr1	998962	1000172	-	1211
ENSG00000187608.8	chr1	1001138	1014541	+	13404
ENSG00000231702.2	chr1	1008076	1008229	-	154
ENSG00000224969.1	chr1	1011997	1013193	-	1197
ENSG00000188157.14	chr1	1020123	1056118	+	35996
ENSG00000242590.1	chr1	1055033	1056116	+	1084
ENSG00000217801.9	chr1	1059734	1069355	+	9622
ENSG00000273443.1	chr1	1062208	1063288	-	1081
ENSG00000237330.2	chr1	1070966	1074307	-	3342
ENSG00000131591.17	chr1	1081818	1116361	-	34544
ENSG00000223823.1	chr1	1137017	1144056	+	7040
ENSG00000207730.3	chr1	1167104	1167198	+	95
ENSG00000207607.3	chr1	1167863	1167952	+	90
ENSG00000198976.1	chr1	1169005	1169087	+	83
ENSG00000272141.1	chr1	1169357	1170343	+	987
ENSG00000205231.1	chr1	1173056	1179555	-	6500
ENSG00000162571.13	chr1	1173884	1197935	+	24052
ENSG00000186891.13	chr1	1203508	1206691	-	3184
ENSG00000186827.10	chr1	1211326	1214138	-	2813
ENSG00000078808.16	chr1	1216908	1232031	-	15124
ENSG00000176022.4	chr1	1232265	1235041	+	2777
ENSG00000184163.3	chr1	1242446	1246722	-	4277
ENSG00000260179.1	chr1	1249777	1251334	-	1558
ENSG00000160087.20	chr1	1253909	1273885	-	19977
ENSG00000230415.1	chr1	1275223	1280420	+	5198
ENSG00000162572.20	chr1	1280436	1292029	+	11594
ENSG00000131584.18	chr1	1292376	1309609	-	17234
ENSG00000278073.1	chr1	1296110	1296170	-	61
ENSG00000169972.11	chr1	1308567	1311677	+	3111
ENSG00000127054.20	chr1	1311585	1324691	-	13107
ENSG00000283712.1	chr1	1312502	1312566	-	65
ENSG00000240731.1	chr1	1317581	1318689	-	1109
ENSG00000224051.6	chr1	1324756	1328897	+	4142
ENSG00000169962.4	chr1	1331314	1335306	+	3993
ENSG00000107404.19	chr1	1335276	1349350	-	14075
ENSG00000284372.1	chr1	1339650	1339708	-	59
ENSG00000162576.16	chr1	1352689	1361777	-	9089
ENSG00000175756.13	chr1	1373730	1375495	-	1766
ENSG00000223663.2	chr1	1378666	1379032	+	367
ENSG00000221978.11	chr1	1385711	1399328	-	13618
ENSG00000224870.6	chr1	1399522	1402046	+	2525
ENSG00000242485.5	chr1	1401908	1407313	-	5406
ENSG00000264293.2	chr1	1405460	1405752	-	293
ENSG00000272455.1	chr1	1409096	1410618	+	1523
ENSG00000235098.8	chr1	1418420	1421769	-	3350
ENSG00000225905.1	chr1	1420245	1422691	+	2447
ENSG00000205116.3	chr1	1426128	1427787	+	1660
ENSG00000225285.1	chr1	1430539	1434573	-	4035
ENSG00000179403.11	chr1	1434861	1442882	+	8022
ENSG00000215915.9	chr1	1449689	1470158	+	20470
ENSG00000160072.19	chr1	1471769	1497848	+	26080
ENSG00000284740.1	chr1	1503250	1509452	+	6203
ENSG00000197785.13	chr1	1512151	1534687	+	22537
ENSG00000205090.8	chr1	1535174	1540453	-	5280
ENSG00000160075.11	chr1	1541673	1574869	-	33197
ENSG00000215014.4	chr1	1574975	1577075	+	2101
ENSG00000274481.1	chr1	1583510	1583909	-	400
ENSG00000228594.3	chr1	1598012	1600096	-	2085
ENSG00000272106.1	chr1	1613758	1615795	-	2038
ENSG00000197530.12	chr1	1615415	1630610	+	15196
ENSG00000189409.13	chr1	1632095	1635263	+	3169
ENSG00000248333.8	chr1	1635227	1659012	-	23786
ENSG00000272004.1	chr1	1659325	1662602	+	3278
ENSG00000189339.11	chr1	1659529	1692728	-	33200
ENSG00000269737.2	chr1	1671990	1674397	+	2408
ENSG00000215914.4	chr1	1699942	1701782	+	1841
ENSG00000008128.22	chr1	1702730	1724324	-	21595
ENSG00000268575.1	chr1	1702736	1737688	-	34953
ENSG00000227775.3	chr1	1724512	1737251	+	12740
ENSG00000215790.7	chr1	1724838	1745999	-	21162
ENSG00000008130.15	chr1	1751232	1780457	-	29226
ENSG00000078369.17	chr1	1785285	1891117	-	105833
ENSG00000231050.1	chr1	1891471	1892658	+	1188
ENSG00000169885.9	chr1	1914827	1917296	+	2470
ENSG00000178821.12	chr1	1917590	1919273	-	1684
ENSG00000142609.18	chr1	1921951	2003837	-	81887
ENSG00000233542.1	chr1	2013213	2015530	-	2318
ENSG00000187730.8	chr1	2019298	2030758	+	11461
ENSG00000226969.1	chr1	2049203	2050070	-	868
ENSG00000067606.16	chr1	2050470	2185395	+	134926
ENSG00000271806.1	chr1	2141084	2145279	-	4196
ENSG00000182873.5	chr1	2181794	2184389	-	2596
ENSG00000162585.16	chr1	2184461	2212720	-	28260
ENSG00000234396.3	chr1	2212523	2220738	+	8216
ENSG00000157933.9	chr1	2228695	2310119	+	81425
ENSG00000116151.13	chr1	2321253	2391707	-	70455
ENSG00000272161.1	chr1	2326201	2326693	-	493
ENSG00000269896.2	chr1	2350414	2352820	-	2407
ENSG00000272420.1	chr1	2363061	2363628	-	568
ENSG00000157916.19	chr1	2391775	2405444	+	13670
ENSG00000157911.9	chr1	2403964	2413797	-	9834
ENSG00000149527.17	chr1	2425980	2505530	+	79551
ENSG00000224387.1	chr1	2492300	2493258	-	959
ENSG00000229393.1	chr1	2493437	2494479	-	1043
ENSG00000157881.13	chr1	2508533	2526628	-	18096
ENSG00000197921.5	chr1	2528745	2530245	-	1501
ENSG00000272449.2	chr1	2530064	2547460	+	17397
ENSG00000238164.6	chr1	2549920	2557031	-	7112
ENSG00000157873.17	chr1	2555639	2565382	+	9744
ENSG00000225931.3	chr1	2566410	2569888	+	3479
ENSG00000228037.1	chr1	2581560	2584533	+	2974
ENSG00000157870.14	chr1	2586491	2591469	+	4979
ENSG00000142606.15	chr1	2590639	2632990	-	42352
ENSG00000237058.1	chr1	2632568	2636620	+	4053
ENSG00000215912.12	chr1	2635976	2801717	-	165742
ENSG00000283259.1	chr1	2773603	2776473	+	2871
ENSG00000233234.1	chr1	2811850	2812692	-	843
ENSG00000231630.1	chr1	2814432	2814998	-	567
ENSG00000284745.1	chr1	2960658	2968707	-	8050
ENSG00000169717.6	chr1	3021483	3022903	+	1421
ENSG00000177133.10	chr1	3059615	3068437	-	8823
ENSG00000142611.16	chr1	3069168	3438621	+	369454
ENSG00000283572.1	chr1	3127975	3128035	+	61
ENSG00000226286.1	chr1	3132927	3133709	-	783
ENSG00000279839.1	chr1	3205988	3208664	+	2677
ENSG00000272235.1	chr1	3306636	3310096	-	3461
ENSG00000130762.14	chr1	3454426	3481113	+	26688
ENSG00000272088.1	chr1	3487246	3487627	+	382
