gene_name	gene_ensembl	gene_type	Chr	Start	End	Strand
DDX11L1	ENSG00000223972.5	transcribed_unprocessed_pseudogene	chr1	11869	14409	+
WASH7P	ENSG00000227232.5	unprocessed_pseudogene	chr1	14404	29570	-
MIR6859-1	ENSG00000278267.1	miRNA	chr1	17369	17436	-
RP11-34P13.3	ENSG00000243485.5	lincRNA	chr1	29554	31109	+
MIR1302-2	ENSG00000284332.1	miRNA	chr1	30366	30503	+
FAM138A	ENSG00000237613.2	lincRNA	chr1	34554	36081	-
OR4G4P	ENSG00000268020.3	unprocessed_pseudogene	chr1	52473	53312	+
OR4G11P	ENSG00000240361.2	transcribed_unprocessed_pseudogene	chr1	57598	64116	+
OR4F5	ENSG00000186092.6	protein_coding	chr1	65419	71585	+
RP11-34P13.7	ENSG00000238009.6	lincRNA	chr1	89295	133723	-
RP11-34P13.8	ENSG00000239945.1	lincRNA	chr1	89551	91105	-
RP11-34P13.10	ENSG00000233750.3	processed_pseudogene	chr1	131025	134836	+
RP11-34P13.15	ENSG00000268903.1	processed_pseudogene	chr1	135141	135895	-
RP11-34P13.16	ENSG00000269981.1	processed_pseudogene	chr1	137682	137965	-
RP11-34P13.14	ENSG00000239906.1	antisense	chr1	139790	140339	-
RP11-34P13.13	ENSG00000241860.6	processed_transcript	chr1	141474	173862	-
RNU6-1100P	ENSG00000222623.1	snRNA	chr1	157784	157887	-
RP11-34P13.9	ENSG00000241599.1	lincRNA	chr1	160446	161525	+
ABC7-43046700E7.1	ENSG00000279928.2	unprocessed_pseudogene	chr1	182696	184174	+
RP11-34P13.18	ENSG00000279457.4	unprocessed_pseudogene	chr1	185217	195411	-
MIR6859-2	ENSG00000273874.1	miRNA	chr1	187891	187958	-
AP006222.1	ENSG00000228463.10	transcribed_processed_pseudogene	chr1	257864	359681	-
RPL23AP24	ENSG00000236679.2	processed_pseudogene	chr1	347982	348366	-
RP4-669L17.2	ENSG00000236601.2	lincRNA	chr1	358857	366052	+
RP4-669L17.4	ENSG00000237094.12	transcribed_unprocessed_pseudogene	chr1	365389	522928	-
RP4-669L17.6	ENSG00000269732.1	processed_pseudogene	chr1	439870	440232	+
OR4F29	ENSG00000284733.1	protein_coding	chr1	450703	451697	-
CICP7	ENSG00000233653.3	processed_pseudogene	chr1	487101	489906	+
RP4-669L17.8	ENSG00000250575.1	unprocessed_pseudogene	chr1	491225	493241	-
RF00026	ENSG00000278757.1	snRNA	chr1	516376	516479	-
RP11-206L10.17	ENSG00000230021.9	transcribed_processed_pseudogene	chr1	586071	827796	-
RP5-857K21.2	ENSG00000235146.2	lincRNA	chr1	587629	594768	+
